name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2024-01-01,43,38.9,40.8,41.8,31.4,36.4,33.3,74.7,0,0,0,,0,0,21.3,13.6,327.2,1017.6,90.3,9.9,11.7,0.9,1,10,2024-01-01T07:26:50,2024-01-01T16:56:30,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-02,45.9,35.7,40.4,40.9,27.2,33.8,26.2,57.3,0,0,0,,0,0,29.6,18.1,327.7,1020.6,47.5,9.9,96.5,8.3,5,10,2024-01-02T07:26:58,2024-01-02T16:57:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-03,47.8,33.7,39.9,44.6,27.8,36.4,26.6,59.5,0,0,0,,0,0,14.1,8.8,210.9,1018.1,68.7,9.9,113.2,9.6,5,10,2024-01-03T07:27:04,2024-01-03T16:58:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C6294,KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-04,46.7,33.2,40.4,41.9,24.1,34.6,25.2,55.2,0,0,0,,0,0,32,21.8,329.2,1018.9,68.5,9.9,54.2,4.8,4,10,2024-01-04T07:27:07,2024-01-04T16:59:02,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-05,39.9,27.8,33.6,35.8,19.4,28,18.9,55,0,0,0,,0,0,14.1,13.2,303.8,1026.9,44.5,9.9,132.6,11.6,5,10,2024-01-05T07:27:09,2024-01-05T16:59:55,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2024-01-06,39.8,33.4,36.8,33.6,27,30.6,31.1,80.1,0.918,100,41.67,rain,0.3,0,31.2,17,24.4,1013.5,97,7.7,9.4,0.8,1,10,2024-01-06T07:27:08,2024-01-06T17:00:50,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-07,51.9,34,41.3,51.9,28.8,36,31.6,70.9,0,0,0,,0,0,36.4,19.4,284.8,1009.2,70.5,9.2,89,7.7,4,10,2024-01-07T07:27:05,2024-01-07T17:01:45,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-08,47.8,37.4,42,47.8,32.9,38.1,28.4,59.1,0,0,0,,0,0,26.5,14.6,304.7,1028.2,62.2,9.9,87.8,7.5,4,10,2024-01-08T07:27:00,2024-01-08T17:02:42,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C6294,KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-09,57.2,38.4,47.5,57.2,31.6,44.1,42.7,83.4,2.278,100,58.33,rain,0,0,71.1,31.4,135.9,1010.3,97.7,7.4,5.3,0.4,0,10,2024-01-09T07:26:53,2024-01-09T17:03:40,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-01-10,56.2,40.4,49.3,56.2,36.4,46.5,32.1,52.9,0.005,100,16.67,rain,0,0,41.1,20.9,254.5,997.7,70.8,9.9,47.3,4,4,10,2024-01-10T07:26:44,2024-01-10T17:04:39,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
